transaction_id,employee_id,vendor_id,transaction_date,category,currency,amount_minor,cost_center,receipt_present
TX0043,EMP012,V005,2026-06-03,travel,EUR,33518,CC_TECH,False
TX0044,EMP017,V001,2026-04-14,accommodation,EUR,81673,CC_SALES,True
TX0045,EMP004,V009,2026-07-28,accommodation,EUR,16629,CC_TECH,True
TX0046,EMP007,V005,2026-06-20,meals,EUR,46442,CC_HR,True
TX0047,EMP014,V005,2026-08-18,travel,EUR,84636,CC_FINANCE,True
TX0048,EMP006,V008,2026-06-07,meals,EUR,35835,CC_HR,True
TX0049,EMP018,V001,2026-08-03,travel,EUR,21036,CC_SALES,True
TX0050,EMP010,V006,2026-05-13,meals,EUR,6982,CC_FINANCE,True
TX0051,EMP012,V009,2026-07-09,meals,EUR,14973,CC_HR,True
TX0052,EMP014,V001,2026-07-02,meals,EUR,24706,CC_TECH,True
TX0053,EMP006,V002,2026-05-18,meals,EUR,36470,CC_HR,True
TX0054,EMP015,V006,2026-05-03,meals,EUR,27658,CC_SALES,True
TX0055,EMP013,V006,2026-07-05,travel,EUR,26813,CC_SALES,True
TX0056,EMP013,V009,2026-06-21,accommodation,EUR,68268,CC_SALES,True
TX0057,EMP019,V005,2026-08-02,accommodation,EUR,24905,CC_FINANCE,True
TX0058,EMP011,V007,2026-04-01,office,EUR,46809,CC_FINANCE,False
TX0059,EMP002,V007,2026-04-06,meals,EUR,34886,CC_FINANCE,True
TX0060,EMP011,V010,2026-05-30,office,EUR,10671,CC_SALES,True
TX0061,EMP011,V007,2026-06-16,accommodation,EUR,55028,CC_SALES,True
TX0062,EMP006,V010,2026-07-13,office,EUR,51195,CC_SALES,False
TX0063,EMP010,V004,2026-04-13,travel,EUR,41329,CC_HR,True
TX0064,EMP007,V009,2026-05-04,office,EUR,59454,CC_HR,True
TX0065,EMP017,V010,2026-03-16,travel,EUR,38696,CC_SALES,True
TX0066,EMP007,V003,2026-07-02,accommodation,EUR,30944,CC_FINANCE,True
TX0067,EMP003,V008,2026-06-30,office,EUR,81620,CC_HR,True
TX0068,EMP013,V004,2026-03-06,office,EUR,66299,CC_TECH,True
TX0069,EMP006,V009,2026-08-04,office,EUR,30183,CC_HR,True
TX0070,EMP015,V003,2026-04-11,meals,EUR,17406,CC_HR,True
TX0071,EMP015,V003,2026-05-10,office,EUR,73310,CC_HR,False
TX0072,EMP017,V008,2026-06-26,meals,EUR,37847,CC_TECH,True
TX0073,EMP008,V005,2026-05-11,travel,EUR,38950,CC_SALES,True
TX0074,EMP005,V004,2026-04-15,travel,EUR,19636,CC_HR,True
TX0075,EMP014,V006,2026-07-08,travel,EUR,55877,CC_HR,False
TX0076,EMP013,V010,2026-08-16,meals,EUR,56569,CC_FINANCE,False
TX0077,EMP010,V007,2026-05-01,travel,EUR,47605,CC_HR,True
TX0078,EMP014,V008,2026-04-29,meals,EUR,37274,CC_FINANCE,False
TX0079,EMP015,V003,2026-06-06,office,EUR,23132,CC_FINANCE,False
TX0080,EMP014,V003,2026-04-02,travel,EUR,12503,CC_HR,True
TX0081,EMP011,V004,2026-08-19,accommodation,EUR,51189,CC_HR,True
TX0082,EMP014,V005,2026-06-06,office,EUR,37971,CC_FINANCE,False
TX0083,EMP008,V002,2026-08-27,travel,EUR,47370,CC_FINANCE,True
TX0084,EMP020,V003,2026-06-29,meals,EUR,4171,CC_TECH,True
TX0085,EMP007,V008,2026-05-02,travel,EUR,75420,CC_SALES,True
TX0086,EMP010,V002,2026-07-20,travel,EUR,22965,CC_FINANCE,True
TX0087,EMP007,V002,2026-04-06,office,EUR,53490,CC_TECH,True
TX0088,EMP004,V010,2026-03-06,accommodation,EUR,80197,CC_FINANCE,True
TX0089,EMP003,V009,2026-04-17,office,EUR,50071,CC_SALES,True
TX0090,EMP014,V006,2026-05-16,office,EUR,15333,CC_HR,True
TX0091,EMP009,V010,2026-05-12,meals,EUR,69886,CC_HR,False
TX0092,EMP008,V002,2026-05-12,accommodation,EUR,43745,CC_SALES,False
TX0093,EMP020,V007,2026-06-30,office,EUR,76191,CC_SALES,True
TX0094,EMP016,V004,2026-04-27,accommodation,EUR,25334,CC_SALES,True
TX0095,EMP009,V009,2026-06-05,accommodation,EUR,79639,CC_FINANCE,True
TX0096,EMP016,V009,2026-08-10,meals,EUR,54771,CC_TECH,False
TX0097,EMP001,V002,2026-03-19,office,EUR,60243,CC_SALES,True
TX0098,EMP019,V006,2026-05-20,meals,EUR,41635,CC_HR,True
TX0099,EMP015,V005,2026-05-15,accommodation,EUR,47612,CC_SALES,True
TX0100,EMP011,V002,2026-07-03,travel,EUR,26742,CC_TECH,True
TX0101,EMP019,V009,2026-07-07,office,EUR,37741,CC_SALES,True
TX0102,EMP012,V003,2026-07-13,accommodation,EUR,31316,CC_SALES,True
TX0103,EMP002,V001,2026-04-17,meals,EUR,37454,CC_SALES,True
TX0104,EMP001,V010,2026-03-21,office,EUR,14946,CC_SALES,False
TX0105,EMP006,V001,2026-05-01,office,EUR,46157,CC_SALES,False
TX0106,EMP016,V002,2026-08-02,travel,EUR,54021,CC_FINANCE,True
TX0107,EMP008,V002,2026-07-24,accommodation,EUR,12664,CC_HR,True
TX0108,EMP015,V005,2026-04-20,office,EUR,60549,CC_HR,True
TX0109,EMP004,V004,2026-04-08,travel,EUR,81405,CC_TECH,True
TX0110,EMP008,V003,2026-03-15,travel,EUR,22085,CC_FINANCE,True
TX0111,EMP020,V008,2026-08-31,travel,EUR,135000,CC_SALES,True
TX0112,EMP015,V002,2026-07-03,meals,EUR,14500,CC_TECH,True
TX0113,EMP004,V009,2026-03-24,accommodation,EUR,68000,CC_TECH,True
TX0114,EMP002,V005,2026-06-24,meals,EUR,10859,CC_SALES,True
TX0115,EMP010,V008,2026-05-11,travel,EUR,62933,CC_SALES,False
TX0001,EMP002,V007,2026-05-11,travel,EUR,79885,CC_SALES,True
,EMP019,V010,2026-08-25,travel,EUR,31505,CC_FINANCE,True
TX0118,EMP016,V009,2026-04-06,travel,EUR,-2500,CC_HR,True
TX0119,EMP016,V002,2026-09-05,office,EUR,84702,CC_HR,True
TX0120,EMP004,V999,2026-05-19,accommodation,EUR,43581,CC_SALES,False
